municipio,provincia,municipio_nombre_humano,precio_m2_alquiler,num_casas_alquiler
Griñón,Madrid,Griñón,8.88,8
Guadalix de la Sierra,Madrid,Guadalix de la Sierra,8.87,6
Guadarrama,Madrid,Guadarrama,10.5,13
Hiruela (La),Madrid,La Hiruela,-,0
Horcajo de la Sierra-Aoslos,Madrid,Horcajo de la Sierra-Aoslos,-,0
Horcajuelo de la Sierra,Madrid,Horcajuelo de la Sierra,-,0
Hoyo de Manzanares,Madrid,Hoyo de Manzanares,11.55,13
Humanes de Madrid,Madrid,Humanes de Madrid,9.33,7
Leganés,Madrid,Leganés,10.71,61
Loeches,Madrid,Loeches,7.73,1
Lozoya,Madrid,Lozoya,4.17,1
Lozoyuela-Navas-Sieteiglesias,Madrid,Lozoyuela-Navas-Sieteiglesias,8.33,1
Madarcos,Madrid,Madarcos,-,0
Madrid,Madrid,Madrid,-,12630
Majadahonda,Madrid,Majadahonda,12.17,105
Manzanares el Real,Madrid,Manzanares el Real,8.11,8
Meco,Madrid,Meco,8.74,6
Mejorada del Campo,Madrid,Mejorada del Campo,10.12,7
Miraflores de la Sierra,Madrid,Miraflores de la Sierra,8.99,15
Molar (El),Madrid,El Molar,8.68,10
Molinos (Los),Madrid,Los Molinos,10.0,1
Montejo de la Sierra,Madrid,Montejo de la Sierra,-,0
Moraleja de Enmedio,Madrid,Moraleja de Enmedio,9.33,1
Moralzarzal,Madrid,Moralzarzal,8.95,7
Morata de Tajuña,Madrid,Morata de Tajuña,6.67,1
Móstoles,Madrid,Móstoles,10.74,79
Navacerrada,Madrid,Navacerrada,10.1,6
Navalafuente,Madrid,Navalafuente,7.72,5
Navalagamella,Madrid,Navalagamella,-,0
Navalcarnero,Madrid,Navalcarnero,8.8,13
Navarredonda y San Mamés,Madrid,Navarredonda y San Mamés,-,0
Navas del Rey,Madrid,Navas del Rey,-,0
Nuevo Baztán,Madrid,Nuevo Baztán,-,0
Olmeda de las Fuentes,Madrid,Olmeda de las Fuentes,4.26,1
Orusco de Tajuña,Madrid,Orusco de Tajuña,-,0
Paracuellos de Jarama,Madrid,Paracuellos de Jarama,11.01,23
Parla,Madrid,Parla,8.63,56
Patones,Madrid,Patones,-,0
Pedrezuela,Madrid,Pedrezuela,10.08,7
Pelayos de la Presa,Madrid,Pelayos de la Presa,6.25,1
Perales de Tajuña,Madrid,Perales de Tajuña,-,0
Pezuela de las Torres,Madrid,Pezuela de las Torres,5.0,1
Pinilla del Valle,Madrid,Pinilla del Valle,4.3,1
Pinto,Madrid,Pinto,10.83,37
Piñuécar-Gandullas,Madrid,Piñuécar-Gandullas,-,0
Pozuelo de Alarcón,Madrid,Pozuelo de Alarcón,16.75,200
Pozuelo del Rey,Madrid,Pozuelo del Rey,-,0
Prádena del Rincón,Madrid,Prádena del Rincón,-,0
Puebla de la Sierra,Madrid,Puebla de la Sierra,-,0
Puentes Viejas,Madrid,Puentes Viejas,-,0
Quijorna,Madrid,Quijorna,8.17,8
Rascafría,Madrid,Rascafría,10.33,5
Redueña,Madrid,Redueña,-,0
Ribatejada,Madrid,Ribatejada,-,0
Rivas-Vaciamadrid,Madrid,Rivas-Vaciamadrid,10.97,35
Robledillo de la Jara,Madrid,Robledillo de la Jara,9.47,1
Robledo de Chavela,Madrid,Robledo de Chavela,7.32,3
Robregordo,Madrid,Robregordo,-,0
Rozas de Madrid (Las),Madrid,Las Rozas de Madrid,12.4,145
Rozas de Puerto Real,Madrid,Rozas de Puerto Real,-,0
San Agustín del Guadalix,Madrid,San Agustín del Guadalix,-,0
San Fernando de Henares,Madrid,San Fernando de Henares,9.91,10
San Lorenzo de El Escorial,Madrid,San Lorenzo de El Escorial,10.0,44
San Martín de la Vega,Madrid,San Martín de la Vega,10.46,2
San Martín de Valdeiglesias,Madrid,San Martín de Valdeiglesias,9.34,9
San Sebastián de los Reyes,Madrid,San Sebastián de los Reyes,12.63,101
Santa María de la Alameda,Madrid,Santa María de la Alameda,-,0
Santorcaz,Madrid,Santorcaz,3.52,1
Santos de la Humosa (Los),Madrid,Los Santos de la Humosa,5.91,1
Serna del Monte (La),Madrid,La Serna del Monte,-,0
Serranillos del Valle,Madrid,Serranillos del Valle,4.74,3
Sevilla la Nueva,Madrid,Sevilla la Nueva,8.23,8
Somosierra,Madrid,Somosierra,-,0
Soto del Real,Madrid,Soto del Real,9.62,8
Talamanca de Jarama,Madrid,Talamanca de Jarama,8.95,6
Tielmes,Madrid,Tielmes,-,0
Titulcia,Madrid,Titulcia,15.38,1
Torrejón de Ardoz,Madrid,Torrejón de Ardoz,9.46,63
Torrejón de la Calzada,Madrid,Torrejón de la Calzada,6.26,4
Torrejón de Velasco,Madrid,Torrejón de Velasco,-,0
Torrelaguna,Madrid,Torrelaguna,6.82,4
Torrelodones,Madrid,Torrelodones,11.58,38
Torremocha de Jarama,Madrid,Torremocha de Jarama,-,0
Torres de la Alameda,Madrid,Torres de la Alameda,7.42,2
Tres Cantos,Madrid,Tres Cantos,11.12,66
Valdaracete,Madrid,Valdaracete,-,0
Valdeavero,Madrid,Valdeavero,9.38,2
Valdelaguna,Madrid,Valdelaguna,6.76,1
Valdemanco,Madrid,Valdemanco,8.78,2
Valdemaqueda,Madrid,Valdemaqueda,6.15,1
Valdemorillo,Madrid,Valdemorillo,8.21,8
Valdemoro,Madrid,Valdemoro,10.42,53
Valdeolmos-Alalpardo,Madrid,Valdeolmos-Alalpardo,6.98,8
Valdepiélagos,Madrid,Valdepiélagos,7.54,2
Valdetorres de Jarama,Madrid,Valdetorres de Jarama,7.76,3
Valdilecha,Madrid,Valdilecha,8.46,1
Valverde de Alcalá,Madrid,Valverde de Alcalá,-,0
Velilla de San Antonio,Madrid,Velilla de San Antonio,7.89,3
Vellón (El),Madrid,El Vellón,7.71,4
Venturada,Madrid,Venturada,6.01,1
Villa del Prado,Madrid,Villa del Prado,10.38,4
Villaconejos,Madrid,Villaconejos,2.78,1
Villalbilla,Madrid,Villalbilla,8.18,8
Villamanrique de Tajo,Madrid,Villamanrique de Tajo,6.28,2
Villamanta,Madrid,Villamanta,5.42,3
Villamantilla,Madrid,Villamantilla,6.45,2
Villanueva de la Cañada,Madrid,Villanueva de la Cañada,11.16,77
Villanueva de Perales,Madrid,Villanueva de Perales,-,0
Villanueva del Pardillo,Madrid,Villanueva del Pardillo,11.13,30
Villar del Olmo,Madrid,Villar del Olmo,-,0
Villarejo de Salvanés,Madrid,Villarejo de Salvanés,5.49,2
Villaviciosa de Odón,Madrid,Villaviciosa de Odón,12.98,132
Villavieja del Lozoya,Madrid,Villavieja del Lozoya,-,0
Zarzalejo,Madrid,Zarzalejo,-,0
Alameda,Málaga,Alameda,3.98,3
Alcaucín,Málaga,Alcaucín,5.93,7
Alfarnate,Málaga,Alfarnate,-,0
Alfarnatejo,Málaga,Alfarnatejo,11.88,4
Algarrobo,Málaga,Algarrobo,8.47,6
Algatocín,Málaga,Algatocín,-,0
Alhaurín de la Torre,Málaga,Alhaurín de la Torre,inf,34
Alhaurín el Grande,Málaga,Alhaurín el Grande,8.44,25
Almáchar,Málaga,Almáchar,-,0
Almargen,Málaga,Almargen,-,0
Almogía,Málaga,Almogía,-,0
Álora,Málaga,Álora,7.35,11
Alozaina,Málaga,Alozaina,6.9,2
Alpandeire,Málaga,Alpandeire,-,0
Antequera,Málaga,Antequera,7.56,18
Árchez,Málaga,Árchez,12.86,1
Archidona,Málaga,Archidona,5.0,7
Ardales,Málaga,Ardales,-,0
Arenas,Málaga,Arenas,5.8,4
Arriate,Málaga,Arriate,3.88,3
Atajate,Málaga,Atajate,5.88,1
Benadalid,Málaga,Benadalid,-,0
Benahavís,Málaga,Benahavís,32.96,126
Benalauría,Málaga,Benalauría,-,0
Benalmádena,Málaga,Benalmádena,-,244
Benamargosa,Málaga,Benamargosa,4.5,2
Benamocarra,Málaga,Benamocarra,14.14,3
Benaoján,Málaga,Benaoján,6.25,1
Benarrabá,Málaga,Benarrabá,-,0
Borge (El),Málaga,El Borge,-,0
Burgo (El),Málaga,El Burgo,2.78,1
Campillos,Málaga,Campillos,5.14,5
Canillas de Aceituno,Málaga,Canillas de Aceituno,5.11,7
Canillas de Albaida,Málaga,Canillas de Albaida,7.7,3
Cañete la Real,Málaga,Cañete la Real,2.86,1
Carratraca,Málaga,Carratraca,4.17,1
Cartajima,Málaga,Cartajima,-,0
Cártama,Málaga,Cártama,8.89,17
Casabermeja,Málaga,Casabermeja,7.74,2
Casarabonela,Málaga,Casarabonela,7.05,3
Casares,Málaga,Casares,12.68,13
Coín,Málaga,Coín,9.21,21
Colmenar,Málaga,Colmenar,6.39,4
Comares,Málaga,Comares,5.49,5
Cómpeta,Málaga,Cómpeta,6.43,3
Cortes de la Frontera,Málaga,Cortes de la Frontera,6.45,5
Cuevas Bajas,Málaga,Cuevas Bajas,-,0
Cuevas de San Marcos,Málaga,Cuevas de San Marcos,2.87,3
Cuevas del Becerro,Málaga,Cuevas del Becerro,2.73,1
Cútar,Málaga,Cútar,13.35,3
Estepona,Málaga,Estepona,17.14,291
Faraján,Málaga,Faraján,-,0
Frigiliana,Málaga,Frigiliana,11.4,11
Fuengirola,Málaga,Fuengirola,13.27,248
Fuente de Piedra,Málaga,Fuente de Piedra,4.69,2
Gaucín,Málaga,Gaucín,3.12,1
Genalguacil,Málaga,Genalguacil,-,0
Guaro,Málaga,Guaro,4.0,1
Humilladero,Málaga,Humilladero,-,0
Igualeja,Málaga,Igualeja,-,0
Istán,Málaga,Istán,15.38,7
Iznate,Málaga,Iznate,-,0
Jimera de Líbar,Málaga,Jimera de Líbar,5.36,1
Jubrique,Málaga,Jubrique,5.09,1
Júzcar,Málaga,Júzcar,-,0
Macharaviaya,Málaga,Macharaviaya,-,0
Málaga,Málaga,Málaga,10.61,873
Manilva,Málaga,Manilva,11.61,74
Marbella,Málaga,Marbella,-,940
Mijas,Málaga,Mijas,14.21,183
Moclinejo,Málaga,Moclinejo,-,0
Mollina,Málaga,Mollina,5.02,6
Monda,Málaga,Monda,7.97,4
Montecorto,Málaga,Montecorto,-,0
Montejaque,Málaga,Montejaque,-,0
Nerja,Málaga,Nerja,12.23,29
Ojén,Málaga,Ojén,19.26,9
Parauta,Málaga,Parauta,-,0
Periana,Málaga,Periana,2.22,1
Pizarra,Málaga,Pizarra,5.68,2
Pujerra,Málaga,Pujerra,-,0
Rincón de la Victoria,Málaga,Rincón de la Victoria,10.24,146
Riogordo,Málaga,Riogordo,5.33,3
Ronda,Málaga,Ronda,-,62
Salares,Málaga,Salares,4.0,1
Sayalonga,Málaga,Sayalonga,7.55,2
Sedella,Málaga,Sedella,5.81,2
Serrato,Málaga,Serrato,-,0
Sierra de Yeguas,Málaga,Sierra de Yeguas,-,0
Teba,Málaga,Teba,-,0
Tolox,Málaga,Tolox,4.08,2
Torremolinos,Málaga,Torremolinos,13.35,160
Torrox,Málaga,Torrox,9.42,79
Totalán,Málaga,Totalán,8.17,2
Valle de Abdalajís,Málaga,Valle de Abdalajís,-,0
Vélez-Málaga,Málaga,Vélez-Málaga,8.67,20
Villanueva de Algaidas,Málaga,Villanueva de Algaidas,4.68,4
Villanueva de la Concepción,Málaga,Villanueva de la Concepción,-,0
Villanueva de Tapia,Málaga,Villanueva de Tapia,5.06,3
Villanueva del Rosario,Málaga,Villanueva del Rosario,3.04,1
Villanueva del Trabuco,Málaga,Villanueva del Trabuco,6.73,15
Viñuela,Málaga,Viñuela,9.1,4
Yunquera,Málaga,Yunquera,10.0,1
Abanilla,Murcia,Abanilla,4.66,2
Abarán,Murcia,Abarán,-,0
Águilas,Murcia,Águilas,9.47,118
Albudeite,Murcia,Albudeite,inf,1
Alcantarilla,Murcia,Alcantarilla,5.73,19
Alcázares (Los),Murcia,Los Alcázares,8.57,64
Aledo,Murcia,Aledo,-,0
Alguazas,Murcia,Alguazas,2.99,2
Alhama de Murcia,Murcia,Alhama de Murcia,9.39,10
Archena,Murcia,Archena,6.14,8
Beniel,Murcia,Beniel,4.38,1
Blanca,Murcia,Blanca,-,0
Bullas,Murcia,Bullas,6.8,1
Calasparra,Murcia,Calasparra,2.58,1
Campos del Río,Murcia,Campos del Río,6.11,1
Caravaca de la Cruz,Murcia,Caravaca de la Cruz,4.19,6
Cartagena,Murcia,Cartagena,9.88,313
Cehegín,Murcia,Cehegín,5.32,4
Ceutí,Murcia,Ceutí,5.28,1
Cieza,Murcia,Cieza,2.42,1
Fortuna,Murcia,Fortuna,4.21,1
Fuente Álamo de Murcia,Murcia,Fuente Álamo de Murcia,-,0
Jumilla,Murcia,Jumilla,5.62,1
Librilla,Murcia,Librilla,-,0
Lorca,Murcia,Lorca,6.01,13
Lorquí,Murcia,Lorquí,5.49,2
Mazarrón,Murcia,Mazarrón,10.53,55
Molina de Segura,Murcia,Molina de Segura,5.78,50
Moratalla,Murcia,Moratalla,inf,3
Mula,Murcia,Mula,6.35,4
Murcia,Murcia,Murcia,8.21,818
Ojós,Murcia,Ojós,10.91,1
Pliego,Murcia,Pliego,1.43,1
Puerto Lumbreras,Murcia,Puerto Lumbreras,3.62,3
Ricote,Murcia,Ricote,6.79,3
San Javier,Murcia,San Javier,6.88,66
San Pedro del Pinatar,Murcia,San Pedro del Pinatar,9.35,44
Santomera,Murcia,Santomera,-,0
Torre-Pacheco,Murcia,Torre-Pacheco,10.86,51
Torres de Cotillas (Las),Murcia,Las Torres de Cotillas,5.72,10
Totana,Murcia,Totana,5.0,1
Ulea,Murcia,Ulea,-,0
Unión (La),Murcia,La Unión,4.98,9
Villanueva del Río Segura,Murcia,Villanueva del Río Segura,6.2,5
Yecla,Murcia,Yecla,4.54,6
Abáigar,Navarra,Abáigar,-,0
Abárzuza/Abartzuza,Navarra,Abárzuza/Abartzuza,-,0
Abaurregaina/Abaurrea Alta,Navarra,Abaurregaina/Abaurrea Alta,-,0
Abaurrepea/Abaurrea Baja,Navarra,Abaurrepea/Abaurrea Baja,-,0
Aberin,Navarra,Aberin,-,0
Ablitas,Navarra,Ablitas,-,0
Adiós,Navarra,Adiós,-,0
Aguilar de Codés,Navarra,Aguilar de Codés,-,0
Aibar/Oibar,Navarra,Aibar/Oibar,-,0
Allín/Allin,Navarra,Allín/Allin,-,0
Allo,Navarra,Allo,-,0
Altsasu/Alsasua,Navarra,Altsasu/Alsasua,-,0
Améscoa Baja,Navarra,Améscoa Baja,-,0
Ancín/Antzin,Navarra,Ancín/Antzin,-,0
Andosilla,Navarra,Andosilla,-,0
Ansoáin/Antsoain,Navarra,Ansoáin/Antsoain,-,0
Anue,Navarra,Anue,-,0
Añorbe,Navarra,Añorbe,-,0
Aoiz/Agoitz,Navarra,Aoiz/Agoitz,-,0
Araitz,Navarra,Araitz,-,0
Arakil,Navarra,Arakil,-,0
Aranarache/Aranaratxe,Navarra,Aranarache/Aranaratxe,-,0
Aranguren,Navarra,Aranguren,-,0
Arano,Navarra,Arano,-,0
Arantza,Navarra,Arantza,-,0
Aras,Navarra,Aras,-,0
Arbizu,Navarra,Arbizu,-,0
Arce/Artzi,Navarra,Arce/Artzi,-,0
Arcos (Los),Navarra,Los Arcos,5.65,1
Arellano,Navarra,Arellano,-,0
Areso,Navarra,Areso,-,0
Arguedas,Navarra,Arguedas,8.18,1
Aria,Navarra,Aria,-,0
Aribe,Navarra,Aribe,-,0
Armañanzas,Navarra,Armañanzas,-,0
Arróniz,Navarra,Arróniz,-,0
Arruazu,Navarra,Arruazu,-,0
Artajona,Navarra,Artajona,-,0
Artazu,Navarra,Artazu,-,0
Atez/Atetz,Navarra,Atez/Atetz,-,0
Auritz/Burguete,Navarra,Auritz/Burguete,-,0
Ayegui/Aiegi,Navarra,Ayegui/Aiegi,-,0
Azagra,Navarra,Azagra,-,0
Azuelo,Navarra,Azuelo,-,0
Bakaiku,Navarra,Bakaiku,-,0
Barañáin/Barañain,Navarra,Barañáin/Barañain,9.78,22
Barásoain,Navarra,Barásoain,-,0
Barbarin,Navarra,Barbarin,-,0
Bargota,Navarra,Bargota,-,0
Barillas,Navarra,Barillas,-,0
Basaburua,Navarra,Basaburua,2.08,1
Baztan,Navarra,Baztan,8.0,2
Beintza-Labaien,Navarra,Beintza-Labaien,-,0
Beire,Navarra,Beire,-,0
Belascoáin,Navarra,Belascoáin,-,0
Bera,Navarra,Bera,-,0
Berbinzana,Navarra,Berbinzana,-,0
Beriáin,Navarra,Beriáin,-,0
Berrioplano/Berriobeiti,Navarra,Berrioplano/Berriobeiti,-,0
Berriozar,Navarra,Berriozar,8.59,1
Bertizarana,Navarra,Bertizarana,-,0
Betelu,Navarra,Betelu,-,0
Bidaurreta,Navarra,Bidaurreta,-,0
Biurrun-Olcoz,Navarra,Biurrun-Olcoz,-,0
Buñuel,Navarra,Buñuel,-,0
Burgui/Burgi,Navarra,Burgui/Burgi,-,0
Burlada/Burlata,Navarra,Burlada/Burlata,-,0
Busto (El),Navarra,El Busto,-,0
Cabanillas,Navarra,Cabanillas,-,0
Cabredo,Navarra,Cabredo,-,0
Cadreita,Navarra,Cadreita,-,0
Caparroso,Navarra,Caparroso,-,0
Cárcar,Navarra,Cárcar,-,0
Carcastillo,Navarra,Carcastillo,-,0
Cascante,Navarra,Cascante,-,0
Cáseda,Navarra,Cáseda,-,0
Castejón,Navarra,Castejón,-,0
Castillonuevo,Navarra,Castillonuevo,-,0
Cendea de Olza/Oltza Zendea,Navarra,Cendea de Olza/Oltza Zendea,-,0
Cintruénigo,Navarra,Cintruénigo,3.47,1
Cirauqui/Zirauki,Navarra,Cirauqui/Zirauki,-,0
Ciriza/Ziritza,Navarra,Ciriza/Ziritza,-,0
Cizur,Navarra,Cizur,8.69,3
Corella,Navarra,Corella,6.52,3
Cortes,Navarra,Cortes,-,0
Desojo,Navarra,Desojo,-,0
Dicastillo,Navarra,Dicastillo,-,0
Donamaria,Navarra,Donamaria,-,0
Doneztebe/Santesteban,Navarra,Doneztebe/Santesteban,-,0
Echarri/Etxarri,Navarra,Echarri/Etxarri,-,0
Elgorriaga,Navarra,Elgorriaga,-,0
Enériz/Eneritz,Navarra,Enériz/Eneritz,-,0
Eratsun,Navarra,Eratsun,-,0
Ergoiena,Navarra,Ergoiena,-,0
Erro,Navarra,Erro,-,0
Eslava,Navarra,Eslava,-,0
Esparza de Salazar/Espartza Zaraitzu,Navarra,Esparza de Salazar/Espartza Zaraitzu,-,0
Espronceda,Navarra,Espronceda,-,0
Estella-Lizarra,Navarra,Estella-Lizarra,-,0
Esteribar,Navarra,Esteribar,-,0
Etayo,Navarra,Etayo,-,0
Etxalar,Navarra,Etxalar,10.81,2
Etxarri Aranatz,Navarra,Etxarri Aranatz,-,0
Etxauri,Navarra,Etxauri,-,0
Eulate,Navarra,Eulate,-,0
Ezcabarte,Navarra,Ezcabarte,8.75,1
Ezcároz/Ezkaroze,Navarra,Ezcároz/Ezkaroze,-,0
Ezkurra,Navarra,Ezkurra,-,0
Ezprogui,Navarra,Ezprogui,-,0
Falces,Navarra,Falces,-,0
Fitero,Navarra,Fitero,-,0
Fontellas,Navarra,Fontellas,-,0
Funes,Navarra,Funes,-,0
Fustiñana,Navarra,Fustiñana,-,0
Galar,Navarra,Galar,-,0
Gallipienzo/Galipentzu,Navarra,Gallipienzo/Galipentzu,-,0
Gallués/Galoze,Navarra,Gallués/Galoze,-,0
Garaioa,Navarra,Garaioa,-,0
Garde,Navarra,Garde,-,0
Garínoain,Navarra,Garínoain,-,0
Garralda,Navarra,Garralda,-,0
Genevilla,Navarra,Genevilla,-,0
Goizueta,Navarra,Goizueta,-,0
Goñi,Navarra,Goñi,-,0
Güesa/Gorza,Navarra,Güesa/Gorza,-,0
Guesálaz/Gesalatz,Navarra,Guesálaz/Gesalatz,-,0
Guirguillano,Navarra,Guirguillano,-,0
Hiriberri/Villanueva de Aezkoa,Navarra,Hiriberri/Villanueva de Aezkoa,-,0
Huarte/Uharte,Navarra,Huarte/Uharte,-,0
Ibargoiti,Navarra,Ibargoiti,-,0
Igantzi,Navarra,Igantzi,-,0
Igúzquiza,Navarra,Igúzquiza,-,0
Imotz,Navarra,Imotz,-,0
Irañeta,Navarra,Irañeta,-,0
Irurtzun,Navarra,Irurtzun,-,0
Isaba/Izaba,Navarra,Isaba/Izaba,-,0
Ituren,Navarra,Ituren,-,0
Iturmendi,Navarra,Iturmendi,-,0
Iza/Itza,Navarra,Iza/Itza,-,0
Izagaondoa,Navarra,Izagaondoa,-,0
Izalzu/Itzaltzu,Navarra,Izalzu/Itzaltzu,-,0
Jaurrieta,Navarra,Jaurrieta,-,0
Javier,Navarra,Javier,-,0
Juslapeña,Navarra,Juslapeña,8.89,1
Lakuntza,Navarra,Lakuntza,-,0
Lana,Navarra,Lana,-,0
Lantz,Navarra,Lantz,-,0
Lapoblación,Navarra,Lapoblación,-,0
Larraga,Navarra,Larraga,-,0
Larraona,Navarra,Larraona,-,0
Larraun,Navarra,Larraun,3.48,1
Lazagurría,Navarra,Lazagurría,-,0
Leache/Leatxe,Navarra,Leache/Leatxe,-,0
Legarda,Navarra,Legarda,-,0
Legaria,Navarra,Legaria,-,0
Leitza,Navarra,Leitza,-,0
Lekunberri,Navarra,Lekunberri,-,0
Leoz/Leotz,Navarra,Leoz/Leotz,-,0
Lerga,Navarra,Lerga,-,0
Lerín,Navarra,Lerín,-,0
Lesaka,Navarra,Lesaka,-,0
Lezaun,Navarra,Lezaun,-,0
Liédena,Navarra,Liédena,-,0
Lizoáin-Arriasgoiti,Navarra,Lizoáin-Arriasgoiti,-,0
Lodosa,Navarra,Lodosa,-,0
Lónguida/Longida,Navarra,Lónguida/Longida,-,0
Lumbier,Navarra,Lumbier,-,0
Luquin,Navarra,Luquin,-,0
Luzaide/Valcarlos,Navarra,Luzaide/Valcarlos,-,0
Mañeru,Navarra,Mañeru,-,0
Marañón,Navarra,Marañón,-,0
Marcilla,Navarra,Marcilla,-,0
Mélida,Navarra,Mélida,-,0
Mendavia,Navarra,Mendavia,-,0
Mendaza,Navarra,Mendaza,-,0
Mendigorria,Navarra,Mendigorria,-,0
Metauten,Navarra,Metauten,-,0
Milagro,Navarra,Milagro,8.33,1
Mirafuentes,Navarra,Mirafuentes,-,0
Miranda de Arga,Navarra,Miranda de Arga,-,0
Monreal/Elo,Navarra,Monreal/Elo,-,0
Monteagudo,Navarra,Monteagudo,-,0
Morentin,Navarra,Morentin,-,0
Mues,Navarra,Mues,-,0
Murchante,Navarra,Murchante,-,0
Murieta,Navarra,Murieta,-,0
Murillo el Cuende,Navarra,Murillo el Cuende,-,0
Murillo el Fruto,Navarra,Murillo el Fruto,-,0
Muruzábal,Navarra,Muruzábal,-,0
Navascués/Nabaskoze,Navarra,Navascués/Nabaskoze,-,0
Nazar,Navarra,Nazar,-,0
Noáin (Valle de Elorz)/Noain (Elortzibar),Navarra,Elortzibar Noáin (Valle de Elorz)/Noain,-,0
Obanos,Navarra,Obanos,-,0
Ochagavía/Otsagabia,Navarra,Ochagavía/Otsagabia,-,0
Oco,Navarra,Oco,-,0
Odieta,Navarra,Odieta,-,0
Oiz,Navarra,Oiz,-,0
Olaibar,Navarra,Olaibar,-,0
Olazti/Olazagutía,Navarra,Olazti/Olazagutía,-,0
Olejua,Navarra,Olejua,-,0
Olite/Erriberri,Navarra,Olite/Erriberri,-,0
Olóriz/Oloritz,Navarra,Olóriz/Oloritz,-,0
Orbaizeta,Navarra,Orbaizeta,-,0
Orbara,Navarra,Orbara,-,0
Orísoain,Navarra,Orísoain,-,0
Orkoien,Navarra,Orkoien,-,0
Oronz/Orontze,Navarra,Oronz/Orontze,-,0
Oroz-Betelu/Orotz-Betelu,Navarra,Oroz-Betelu/Orotz-Betelu,-,0
Orreaga/Roncesvalles,Navarra,Orreaga/Roncesvalles,-,0
Oteiza,Navarra,Oteiza,-,0
Pamplona/Iruña,Navarra,Pamplona/Iruña,-,0
Peralta/Azkoien,Navarra,Peralta/Azkoien,-,0
Petilla de Aragón,Navarra,Petilla de Aragón,-,0
Piedramillera,Navarra,Piedramillera,-,0
Pitillas,Navarra,Pitillas,-,0
Puente la Reina/Gares,Navarra,Puente la Reina/Gares,-,0
Pueyo,Navarra,Pueyo,-,0
Ribaforada,Navarra,Ribaforada,-,0
Romanzado,Navarra,Romanzado,7.19,1
Roncal/Erronkari,Navarra,Roncal/Erronkari,-,0
Sada,Navarra,Sada,-,0
Saldías,Navarra,Saldías,-,0
Salinas de Oro/Jaitz,Navarra,Salinas de Oro/Jaitz,-,0
San Adrián,Navarra,San Adrián,6.76,2
San Martín de Unx,Navarra,San Martín de Unx,-,0
Sangüesa/Zangoza,Navarra,Sangüesa/Zangoza,-,0
Sansol,Navarra,Sansol,-,0
Santacara,Navarra,Santacara,-,0
Sarriés/Sartze,Navarra,Sarriés/Sartze,-,0
Sartaguda,Navarra,Sartaguda,-,0
Sesma,Navarra,Sesma,-,0
Sorlada,Navarra,Sorlada,-,0
Sunbilla,Navarra,Sunbilla,-,0
Tafalla,Navarra,Tafalla,6.93,4
Tiebas-Muruarte de Reta,Navarra,Tiebas-Muruarte de Reta,-,0
Tirapu,Navarra,Tirapu,-,0
Torralba del Río,Navarra,Torralba del Río,-,0
Torres del Río,Navarra,Torres del Río,-,0
Tudela,Navarra,Tudela,7.77,21
Tulebras,Navarra,Tulebras,-,0
Ucar,Navarra,Ucar,-,0
Uharte Arakil,Navarra,Uharte Arakil,-,0
Ujué/Uxue,Navarra,Ujué/Uxue,-,0
Ultzama,Navarra,Ultzama,6.0,1
Unciti,Navarra,Unciti,-,0
Unzué/Untzue,Navarra,Unzué/Untzue,-,0
Urdazubi/Urdax,Navarra,Urdazubi/Urdax,-,0
Urdiain,Navarra,Urdiain,-,0
Urraul Alto,Navarra,Urraul Alto,-,0
Urraul Bajo,Navarra,Urraul Bajo,-,0
Urroz,Navarra,Urroz,-,0
Urroz-Villa,Navarra,Urroz-Villa,-,0
Urzainqui/Urzainki,Navarra,Urzainqui/Urzainki,-,0
Uterga,Navarra,Uterga,-,0
Uztárroz/Uztarroze,Navarra,Uztárroz/Uztarroze,-,0
Valle de Egüés/Eguesibar,Navarra,Valle de Egüés/Eguesibar,-,0
Valle de Ollo/Ollaran,Navarra,Valle de Ollo/Ollaran,-,0
Valle de Yerri/Deierri,Navarra,Valle de Yerri/Deierri,-,0
Valtierra,Navarra,Valtierra,-,0
Viana,Navarra,Viana,4.04,2
Vidángoz/Bidankoze,Navarra,Vidángoz/Bidankoze,-,0
Villafranca,Navarra,Villafranca,-,0
Villamayor de Monjardín,Navarra,Villamayor de Monjardín,-,0
Villatuerta,Navarra,Villatuerta,-,0
Villava/Atarrabia,Navarra,Villava/Atarrabia,-,0
Yesa,Navarra,Yesa,-,0
Zabalza/Zabaltza,Navarra,Zabalza/Zabaltza,-,0
Ziordia,Navarra,Ziordia,-,0
Zizur Mayor/Zizur Nagusia,Navarra,Zizur Mayor/Zizur Nagusia,-,0
Zubieta,Navarra,Zubieta,-,0
Zugarramurdi,Navarra,Zugarramurdi,-,0
Zúñiga,Navarra,Zúñiga,-,0
Allariz,Ourense,Allariz,5.68,3
Amoeiro,Ourense,Amoeiro,4.07,3
Arnoia (A),Ourense,A Arnoia,-,0
Avión,Ourense,Avión,-,0
Baltar,Ourense,Baltar,-,0
Bande,Ourense,Bande,-,0
Baños de Molgas,Ourense,Baños de Molgas,-,0
Barbadás,Ourense,Barbadás,5.07,8
Barco de Valdeorras (O),Ourense,O Barco de Valdeorras,4.47,5
Beade,Ourense,Beade,-,0
Beariz,Ourense,Beariz,6.25,1
Blancos (Os),Ourense,Os Blancos,-,0
Boborás,Ourense,Boborás,-,0
Bola (A),Ourense,A Bola,-,0
Bolo (O),Ourense,O Bolo,-,0
Calvos de Randín,Ourense,Calvos de Randín,5.2,1
