municipio,provincia,municipio_nombre_humano
Santa María del Páramo,León,Santa María del Páramo
Santa Marina del Rey,León,Santa Marina del Rey
Santas Martas,León,Santas Martas
Santiago Millas,León,Santiago Millas
Santovenia de la Valdoncina,León,Santovenia de la Valdoncina
Sariegos,León,Sariegos
Sena de Luna,León,Sena de Luna
Sobrado,León,Sobrado
Soto de la Vega,León,Soto de la Vega
Soto y Amío,León,Soto y Amío
Toral de los Guzmanes,León,Toral de los Guzmanes
Toral de los Vados,León,Toral de los Vados
Toreno,León,Toreno
Torre del Bierzo,León,Torre del Bierzo
Trabadelo,León,Trabadelo
Truchas,León,Truchas
Turcia,León,Turcia
Urdiales del Páramo,León,Urdiales del Páramo
Val de San Lorenzo,León,Val de San Lorenzo
Valdefresno,León,Valdefresno
Valdefuentes del Páramo,León,Valdefuentes del Páramo
Valdelugueros,León,Valdelugueros
Valdemora,León,Valdemora
Valdepiélago,León,Valdepiélago
Valdepolo,León,Valdepolo
Valderas,León,Valderas
Valderrey,León,Valderrey
Valderrueda,León,Valderrueda
Valdesamario,León,Valdesamario
Valdevimbre,León,Valdevimbre
Valencia de Don Juan,León,Valencia de Don Juan
Vallecillo,León,Vallecillo
Valverde de la Virgen,León,Valverde de la Virgen
Valverde-Enrique,León,Valverde-Enrique
Vecilla (La),León,La Vecilla
Vega de Espinareda,León,Vega de Espinareda
Vega de Infanzones,León,Vega de Infanzones
Vega de Valcarce,León,Vega de Valcarce
Vegacervera,León,Vegacervera
Vegaquemada,León,Vegaquemada
Vegas del Condado,León,Vegas del Condado
Villablino,León,Villablino
Villabraz,León,Villabraz
Villadangos del Páramo,León,Villadangos del Páramo
Villademor de la Vega,León,Villademor de la Vega
Villafranca del Bierzo,León,Villafranca del Bierzo
Villagatón,León,Villagatón
Villamandos,León,Villamandos
Villamanín,León,Villamanín
Villamañán,León,Villamañán
Villamartín de Don Sancho,León,Villamartín de Don Sancho
Villamejil,León,Villamejil
Villamol,León,Villamol
Villamontán de la Valduerna,León,Villamontán de la Valduerna
Villamoratiel de las Matas,León,Villamoratiel de las Matas
Villanueva de las Manzanas,León,Villanueva de las Manzanas
Villaobispo de Otero,León,Villaobispo de Otero
Villaornate y Castro,León,Villaornate y Castro
Villaquejida,León,Villaquejida
Villaquilambre,León,Villaquilambre
Villarejo de Órbigo,León,Villarejo de Órbigo
Villares de Órbigo,León,Villares de Órbigo
Villasabariego,León,Villasabariego
Villaselán,León,Villaselán
Villaturiel,León,Villaturiel
Villazala,León,Villazala
Villazanzo de Valderaduey,León,Villazanzo de Valderaduey
Zotes del Páramo,León,Zotes del Páramo
Abella de la Conca,Lleida,Abella de la Conca
Àger,Lleida,Àger
Agramunt,Lleida,Agramunt
Aitona,Lleida,Aitona
Alamús (Els),Lleida,Els Alamús
Alàs i Cerc,Lleida,Alàs i Cerc
Albagés (L'),Lleida,L' Albagés
Albatàrrec,Lleida,Albatàrrec
Albesa,Lleida,Albesa
Albi (L'),Lleida,L' Albi
Alcanó,Lleida,Alcanó
Alcarràs,Lleida,Alcarràs
Alcoletge,Lleida,Alcoletge
Alfarràs,Lleida,Alfarràs
Alfés,Lleida,Alfés
Algerri,Lleida,Algerri
Alguaire,Lleida,Alguaire
Alins,Lleida,Alins
Almacelles,Lleida,Almacelles
Almatret,Lleida,Almatret
Almenar,Lleida,Almenar
Alòs de Balaguer,Lleida,Alòs de Balaguer
Alpicat,Lleida,Alpicat
Alt Àneu,Lleida,Alt Àneu
Anglesola,Lleida,Anglesola
Arbeca,Lleida,Arbeca
Arres,Lleida,Arres
Arsèguel,Lleida,Arsèguel
Artesa de Lleida,Lleida,Artesa de Lleida
Artesa de Segre,Lleida,Artesa de Segre
Aspa,Lleida,Aspa
Avellanes i Santa Linya (Les),Lleida,Les Avellanes i Santa Linya
Baix Pallars,Lleida,Baix Pallars
Balaguer,Lleida,Balaguer
Barbens,Lleida,Barbens
Baronia de Rialb (La),Lleida,La Baronia de Rialb
Bassella,Lleida,Bassella
Bausen,Lleida,Bausen
Belianes,Lleida,Belianes
Bellaguarda,Lleida,Bellaguarda
Bellcaire d'Urgell,Lleida,Bellcaire d'Urgell
Bell-lloc d'Urgell,Lleida,Bell-lloc d'Urgell
Bellmunt d'Urgell,Lleida,Bellmunt d'Urgell
Bellpuig,Lleida,Bellpuig
Bellver de Cerdanya,Lleida,Bellver de Cerdanya
Bellvís,Lleida,Bellvís
Benavent de Segrià,Lleida,Benavent de Segrià
Biosca,Lleida,Biosca
Bòrdes (Es),Lleida,Es Bòrdes
Borges Blanques (Les),Lleida,Les Borges Blanques
Bossòst,Lleida,Bossòst
Bovera,Lleida,Bovera
Cabanabona,Lleida,Cabanabona
Cabó,Lleida,Cabó
Camarasa,Lleida,Camarasa
Canejan,Lleida,Canejan
Castell de Mur,Lleida,Castell de Mur
Castellar de la Ribera,Lleida,Castellar de la Ribera
Castelldans,Lleida,Castelldans
Castellnou de Seana,Lleida,Castellnou de Seana
Castelló de Farfanya,Lleida,Castelló de Farfanya
Castellserà,Lleida,Castellserà
Cava,Lleida,Cava
Cervera,Lleida,Cervera
Cervià de les Garrigues,Lleida,Cervià de les Garrigues
Ciutadilla,Lleida,Ciutadilla
Clariana de Cardener,Lleida,Clariana de Cardener
Cogul (El),Lleida,El Cogul
Coll de Nargó,Lleida,Coll de Nargó
Coma i la Pedra (La),Lleida,La Coma i la Pedra
Conca de Dalt,Lleida,Conca de Dalt
Corbins,Lleida,Corbins
Cubells,Lleida,Cubells
Espluga Calba (L'),Lleida,L' Espluga Calba
Espot,Lleida,Espot
Estamariu,Lleida,Estamariu
Estaràs,Lleida,Estaràs
Esterri d'Àneu,Lleida,Esterri d'Àneu
Esterri de Cardós,Lleida,Esterri de Cardós
Farrera,Lleida,Farrera
Fígols i Alinyà,Lleida,Fígols i Alinyà
Floresta (La),Lleida,La Floresta
Fondarella,Lleida,Fondarella
Foradada,Lleida,Foradada
Fuliola (La),Lleida,La Fuliola
Fulleda,Lleida,Fulleda
Gavet de la Conca,Lleida,Gavet de la Conca
Gimenells i el Pla de la Font,Lleida,Gimenells i el Pla de la Font
Golmés,Lleida,Golmés
Gósol,Lleida,Gósol
Granadella (La),Lleida,La Granadella
Granja d'Escarp (La),Lleida,La Granja d'Escarp
Granyanella,Lleida,Granyanella
Granyena de les Garrigues,Lleida,Granyena de les Garrigues
Granyena de Segarra,Lleida,Granyena de Segarra
Guimerà,Lleida,Guimerà
Guingueta d'Àneu (La),Lleida,La Guingueta d'Àneu
Guissona,Lleida,Guissona
Guixers,Lleida,Guixers
Isona i Conca Dellà,Lleida,Isona i Conca Dellà
Ivars de Noguera,Lleida,Ivars de Noguera
Ivars d'Urgell,Lleida,Ivars d'Urgell
Ivorra,Lleida,Ivorra
Josa i Tuixén,Lleida,Josa i Tuixén
Juncosa,Lleida,Juncosa
Juneda,Lleida,Juneda
Les,Lleida,Les
Linyola,Lleida,Linyola
Lladorre,Lleida,Lladorre
Lladurs,Lleida,Lladurs
Llardecans,Lleida,Llardecans
Llavorsí,Lleida,Llavorsí
Lleida,Lleida,Lleida
Lles de Cerdanya,Lleida,Lles de Cerdanya
Llimiana,Lleida,Llimiana
Llobera,Lleida,Llobera
Maials,Lleida,Maials
Maldà,Lleida,Maldà
Massalcoreig,Lleida,Massalcoreig
Massoteres,Lleida,Massoteres
Menàrguens,Lleida,Menàrguens
Miralcamp,Lleida,Miralcamp
Mollerussa,Lleida,Mollerussa
Molsosa (La),Lleida,La Molsosa
Montellà i Martinet,Lleida,Montellà i Martinet
Montferrer i Castellbò,Lleida,Montferrer i Castellbò
Montgai,Lleida,Montgai
Montoliu de Lleida,Lleida,Montoliu de Lleida
Montoliu de Segarra,Lleida,Montoliu de Segarra
Montornès de Segarra,Lleida,Montornès de Segarra
Nalec,Lleida,Nalec
Naut Aran,Lleida,Naut Aran
Navès,Lleida,Navès
Odèn,Lleida,Odèn
Oliana,Lleida,Oliana
Oliola,Lleida,Oliola
Olius,Lleida,Olius
Oluges (Les),Lleida,Les Oluges
Omellons (Els),Lleida,Els Omellons
Omells de na Gaia (Els),Lleida,Els Omells de na Gaia
Organyà,Lleida,Organyà
Os de Balaguer,Lleida,Os de Balaguer
Ossó de Sió,Lleida,Ossó de Sió
Palau d'Anglesola (El),Lleida,El Palau d'Anglesola
Penelles,Lleida,Penelles
Peramola,Lleida,Peramola
Pinell de Solsonès,Lleida,Pinell de Solsonès
Pinós,Lleida,Pinós
Plans de Sió (Els),Lleida,Els Plans de Sió
Poal (El),Lleida,El Poal
Pobla de Cérvoles (La),Lleida,La Pobla de Cérvoles
Pobla de Segur (La),Lleida,La Pobla de Segur
Pont de Bar (El),Lleida,El Pont de Bar
Pont de Suert (El),Lleida,El Pont de Suert
Ponts,Lleida,Ponts
Portella (La),Lleida,La Portella
Prats i Sansor,Lleida,Prats i Sansor
Preixana,Lleida,Preixana
Preixens,Lleida,Preixens
Prullans,Lleida,Prullans
Puiggròs,Lleida,Puiggròs
Puigverd d'Agramunt,Lleida,Puigverd d'Agramunt
Puigverd de Lleida,Lleida,Puigverd de Lleida
Rialp,Lleida,Rialp
Ribera d'Ondara,Lleida,Ribera d'Ondara
Ribera d'Urgellet,Lleida,Ribera d'Urgellet
Riner,Lleida,Riner
Riu de Cerdanya,Lleida,Riu de Cerdanya
Rosselló,Lleida,Rosselló
Salàs de Pallars,Lleida,Salàs de Pallars
Sanaüja,Lleida,Sanaüja
Sant Esteve de la Sarga,Lleida,Sant Esteve de la Sarga
Sant Guim de Freixenet,Lleida,Sant Guim de Freixenet
Sant Guim de la Plana,Lleida,Sant Guim de la Plana
Sant Llorenç de Morunys,Lleida,Sant Llorenç de Morunys
Sant Martí de Riucorb,Lleida,Sant Martí de Riucorb
Sant Ramon,Lleida,Sant Ramon
Sarroca de Bellera,Lleida,Sarroca de Bellera
Sarroca de Lleida,Lleida,Sarroca de Lleida
Senterada,Lleida,Senterada
Sentiu de Sió (La),Lleida,La Sentiu de Sió
Seròs,Lleida,Seròs
Seu d'Urgell (La),Lleida,La Seu d'Urgell
Sidamon,Lleida,Sidamon
Soleràs (El),Lleida,El Soleràs
Solsona,Lleida,Solsona
Soriguera,Lleida,Soriguera
Sort,Lleida,Sort
Soses,Lleida,Soses
Sudanell,Lleida,Sudanell
Sunyer,Lleida,Sunyer
Talarn,Lleida,Talarn
Talavera,Lleida,Talavera
Tàrrega,Lleida,Tàrrega
Tarrés,Lleida,Tarrés
Tarroja de Segarra,Lleida,Tarroja de Segarra
Térmens,Lleida,Térmens
Tírvia,Lleida,Tírvia
Tiurana,Lleida,Tiurana
Torà,Lleida,Torà
Torms (Els),Lleida,Els Torms
Tornabous,Lleida,Tornabous
Torre de Cabdella (La),Lleida,La Torre de Cabdella
Torrebesses,Lleida,Torrebesses
Torrefarrera,Lleida,Torrefarrera
Torrefeta i Florejacs,Lleida,Torrefeta i Florejacs
Torregrossa,Lleida,Torregrossa
Torrelameu,Lleida,Torrelameu
Torres de Segre,Lleida,Torres de Segre
Torre-serona,Lleida,Torre-serona
Tremp,Lleida,Tremp
Vall de Boí (La),Lleida,La Vall de Boí
Vall de Cardós,Lleida,Vall de Cardós
Vallbona de les Monges,Lleida,Vallbona de les Monges
Vallfogona de Balaguer,Lleida,Vallfogona de Balaguer
Valls d'Aguilar (Les),Lleida,Les Valls d'Aguilar
Valls de Valira (Les),Lleida,Les Valls de Valira
Vansa i Fórnols (La),Lleida,La Vansa i Fórnols
Verdú,Lleida,Verdú
Vielha e Mijaran,Lleida,Vielha e Mijaran
Vilagrassa,Lleida,Vilagrassa
Vilaller,Lleida,Vilaller
Vilamòs,Lleida,Vilamòs
Vilanova de Bellpuig,Lleida,Vilanova de Bellpuig
Vilanova de la Barca,Lleida,Vilanova de la Barca
Vilanova de l'Aguda,Lleida,Vilanova de l'Aguda
Vilanova de Meià,Lleida,Vilanova de Meià
Vilanova de Segrià,Lleida,Vilanova de Segrià
Vila-sana,Lleida,Vila-sana
Vilosell (El),Lleida,El Vilosell
Vinaixa,Lleida,Vinaixa
Ábalos,La Rioja,Ábalos
Agoncillo,La Rioja,Agoncillo
Aguilar del Río Alhama,La Rioja,Aguilar del Río Alhama
Ajamil de Cameros,La Rioja,Ajamil de Cameros
Albelda de Iregua,La Rioja,Albelda de Iregua
Alberite,La Rioja,Alberite
Alcanadre,La Rioja,Alcanadre
Aldeanueva de Ebro,La Rioja,Aldeanueva de Ebro
Alesanco,La Rioja,Alesanco
Alesón,La Rioja,Alesón
Alfaro,La Rioja,Alfaro
Almarza de Cameros,La Rioja,Almarza de Cameros
Anguciana,La Rioja,Anguciana
Anguiano,La Rioja,Anguiano
Arenzana de Abajo,La Rioja,Arenzana de Abajo
Arenzana de Arriba,La Rioja,Arenzana de Arriba
Arnedillo,La Rioja,Arnedillo
Arnedo,La Rioja,Arnedo
Arrúbal,La Rioja,Arrúbal
Ausejo,La Rioja,Ausejo
Autol,La Rioja,Autol
Azofra,La Rioja,Azofra
Badarán,La Rioja,Badarán
Bañares,La Rioja,Bañares
Baños de Río Tobía,La Rioja,Baños de Río Tobía
Baños de Rioja,La Rioja,Baños de Rioja
Berceo,La Rioja,Berceo
Bergasa,La Rioja,Bergasa
Bergasillas Bajera,La Rioja,Bergasillas Bajera
Bezares,La Rioja,Bezares
Bobadilla,La Rioja,Bobadilla
Brieva de Cameros,La Rioja,Brieva de Cameros
Briñas,La Rioja,Briñas
Briones,La Rioja,Briones
Cabezón de Cameros,La Rioja,Cabezón de Cameros
Calahorra,La Rioja,Calahorra
Camprovín,La Rioja,Camprovín
Canales de la Sierra,La Rioja,Canales de la Sierra
Canillas de Río Tuerto,La Rioja,Canillas de Río Tuerto
Cañas,La Rioja,Cañas
Cárdenas,La Rioja,Cárdenas
Casalarreina,La Rioja,Casalarreina
Castañares de Rioja,La Rioja,Castañares de Rioja
Castroviejo,La Rioja,Castroviejo
Cellorigo,La Rioja,Cellorigo
Cenicero,La Rioja,Cenicero
Cervera del Río Alhama,La Rioja,Cervera del Río Alhama
Cidamón,La Rioja,Cidamón
Cihuri,La Rioja,Cihuri
Cirueña,La Rioja,Cirueña
Clavijo,La Rioja,Clavijo
Cordovín,La Rioja,Cordovín
Corera,La Rioja,Corera
Cornago,La Rioja,Cornago
Corporales,La Rioja,Corporales
Cuzcurrita de Río Tirón,La Rioja,Cuzcurrita de Río Tirón
Daroca de Rioja,La Rioja,Daroca de Rioja
Enciso,La Rioja,Enciso
Entrena,La Rioja,Entrena
Estollo,La Rioja,Estollo
Ezcaray,La Rioja,Ezcaray
Foncea,La Rioja,Foncea
Fonzaleche,La Rioja,Fonzaleche
Fuenmayor,La Rioja,Fuenmayor
Galbárruli,La Rioja,Galbárruli
Galilea,La Rioja,Galilea
Gallinero de Cameros,La Rioja,Gallinero de Cameros
Gimileo,La Rioja,Gimileo
Grañón,La Rioja,Grañón
Grávalos,La Rioja,Grávalos
Haro,La Rioja,Haro
Herce,La Rioja,Herce
Herramélluri,La Rioja,Herramélluri
Hervías,La Rioja,Hervías
Hormilla,La Rioja,Hormilla
Hormilleja,La Rioja,Hormilleja
Hornillos de Cameros,La Rioja,Hornillos de Cameros
Hornos de Moncalvillo,La Rioja,Hornos de Moncalvillo
Huércanos,La Rioja,Huércanos
Igea,La Rioja,Igea
Jalón de Cameros,La Rioja,Jalón de Cameros
Laguna de Cameros,La Rioja,Laguna de Cameros
Lagunilla del Jubera,La Rioja,Lagunilla del Jubera
Lardero,La Rioja,Lardero
Ledesma de la Cogolla,La Rioja,Ledesma de la Cogolla
Leiva,La Rioja,Leiva
Leza de Río Leza,La Rioja,Leza de Río Leza
Logroño,La Rioja,Logroño
Lumbreras de Cameros,La Rioja,Lumbreras de Cameros
Manjarrés,La Rioja,Manjarrés
Mansilla de la Sierra,La Rioja,Mansilla de la Sierra
Manzanares de Rioja,La Rioja,Manzanares de Rioja
Matute,La Rioja,Matute
Medrano,La Rioja,Medrano
Munilla,La Rioja,Munilla
Murillo de Río Leza,La Rioja,Murillo de Río Leza
Muro de Aguas,La Rioja,Muro de Aguas
Muro en Cameros,La Rioja,Muro en Cameros
Nájera,La Rioja,Nájera
Nalda,La Rioja,Nalda
Navajún,La Rioja,Navajún
Navarrete,La Rioja,Navarrete
Nestares,La Rioja,Nestares
Nieva de Cameros,La Rioja,Nieva de Cameros
Ochánduri,La Rioja,Ochánduri
Ocón,La Rioja,Ocón
Ojacastro,La Rioja,Ojacastro
Ollauri,La Rioja,Ollauri
Ortigosa de Cameros,La Rioja,Ortigosa de Cameros
Pazuengos,La Rioja,Pazuengos
Pedroso,La Rioja,Pedroso
Pinillos,La Rioja,Pinillos
Pradejón,La Rioja,Pradejón
Pradillo,La Rioja,Pradillo
Préjano,La Rioja,Préjano
Quel,La Rioja,Quel
Rabanera,La Rioja,Rabanera
Rasillo de Cameros (El),La Rioja,El Rasillo de Cameros
Redal (El),La Rioja,El Redal
Ribafrecha,La Rioja,Ribafrecha
Rincón de Soto,La Rioja,Rincón de Soto
Robres del Castillo,La Rioja,Robres del Castillo
Rodezno,La Rioja,Rodezno
Sajazarra,La Rioja,Sajazarra
San Asensio,La Rioja,San Asensio
San Millán de la Cogolla,La Rioja,San Millán de la Cogolla
San Millán de Yécora,La Rioja,San Millán de Yécora
San Román de Cameros,La Rioja,San Román de Cameros
San Torcuato,La Rioja,San Torcuato
San Vicente de la Sonsierra,La Rioja,San Vicente de la Sonsierra
Santa Coloma,La Rioja,Santa Coloma
Santa Engracia del Jubera,La Rioja,Santa Engracia del Jubera
Santa Eulalia Bajera,La Rioja,Santa Eulalia Bajera
Santo Domingo de la Calzada,La Rioja,Santo Domingo de la Calzada
Santurde de Rioja,La Rioja,Santurde de Rioja
Santurdejo,La Rioja,Santurdejo
Sojuela,La Rioja,Sojuela
Sorzano,La Rioja,Sorzano
Sotés,La Rioja,Sotés
Soto en Cameros,La Rioja,Soto en Cameros
Terroba,La Rioja,Terroba
Tirgo,La Rioja,Tirgo
Tobía,La Rioja,Tobía
Tormantos,La Rioja,Tormantos
Torre en Cameros,La Rioja,Torre en Cameros
Torrecilla en Cameros,La Rioja,Torrecilla en Cameros
Torrecilla sobre Alesanco,La Rioja,Torrecilla sobre Alesanco
Torremontalbo,La Rioja,Torremontalbo
Treviana,La Rioja,Treviana
Tricio,La Rioja,Tricio
Tudelilla,La Rioja,Tudelilla
Uruñuela,La Rioja,Uruñuela
Valdemadera,La Rioja,Valdemadera
Valgañón,La Rioja,Valgañón
Ventosa,La Rioja,Ventosa
Ventrosa,La Rioja,Ventrosa
Viguera,La Rioja,Viguera
Villalba de Rioja,La Rioja,Villalba de Rioja
Villalobar de Rioja,La Rioja,Villalobar de Rioja
Villamediana de Iregua,La Rioja,Villamediana de Iregua
Villanueva de Cameros,La Rioja,Villanueva de Cameros
Villar de Arnedo (El),La Rioja,El Villar de Arnedo
Villar de Torre,La Rioja,Villar de Torre
Villarejo,La Rioja,Villarejo
Villarroya,La Rioja,Villarroya
Villarta-Quintana,La Rioja,Villarta-Quintana
Villavelayo,La Rioja,Villavelayo
Villaverde de Rioja,La Rioja,Villaverde de Rioja
Villoslada de Cameros,La Rioja,Villoslada de Cameros
Viniegra de Abajo,La Rioja,Viniegra de Abajo
Viniegra de Arriba,La Rioja,Viniegra de Arriba
Zarratón,La Rioja,Zarratón
Zarzosa,La Rioja,Zarzosa
Zorraquín,La Rioja,Zorraquín
Abadín,Lugo,Abadín
Alfoz,Lugo,Alfoz
Antas de Ulla,Lugo,Antas de Ulla
Baleira,Lugo,Baleira
Baralla,Lugo,Baralla
Barreiros,Lugo,Barreiros
Becerreá,Lugo,Becerreá
Begonte,Lugo,Begonte
Bóveda,Lugo,Bóveda
Burela,Lugo,Burela
Carballedo,Lugo,Carballedo
Castro de Rei,Lugo,Castro de Rei
Castroverde,Lugo,Castroverde
Cervantes,Lugo,Cervantes
Cervo,Lugo,Cervo
Chantada,Lugo,Chantada
Corgo (O),Lugo,O Corgo
Cospeito,Lugo,Cospeito
Folgoso do Courel,Lugo,Folgoso do Courel
Fonsagrada (A),Lugo,A Fonsagrada
Foz,Lugo,Foz
Friol,Lugo,Friol
Guitiriz,Lugo,Guitiriz
Guntín,Lugo,Guntín
Incio (O),Lugo,O Incio
Láncara,Lugo,Láncara
Lourenzá,Lugo,Lourenzá
Lugo,Lugo,Lugo
Meira,Lugo,Meira
Mondoñedo,Lugo,Mondoñedo
Monforte de Lemos,Lugo,Monforte de Lemos
Monterroso,Lugo,Monterroso
Muras,Lugo,Muras
Navia de Suarna,Lugo,Navia de Suarna
Negueira de Muñiz,Lugo,Negueira de Muñiz
Nogais (As),Lugo,As Nogais
Ourol,Lugo,Ourol
Outeiro de Rei,Lugo,Outeiro de Rei
Palas de Rei,Lugo,Palas de Rei
Pantón,Lugo,Pantón
Paradela,Lugo,Paradela
Páramo (O),Lugo,O Páramo
Pastoriza (A),Lugo,A Pastoriza
Pedrafita do Cebreiro,Lugo,Pedrafita do Cebreiro
Pobra do Brollón (A),Lugo,A Pobra do Brollón
Pol,Lugo,Pol
Pontenova (A),Lugo,A Pontenova
Portomarín,Lugo,Portomarín
Quiroga,Lugo,Quiroga
Rábade,Lugo,Rábade
Ribadeo,Lugo,Ribadeo
Ribas de Sil,Lugo,Ribas de Sil
Ribeira de Piquín,Lugo,Ribeira de Piquín
Riotorto,Lugo,Riotorto
Samos,Lugo,Samos
Sarria,Lugo,Sarria
Saviñao (O),Lugo,O Saviñao
Sober,Lugo,Sober
Taboada,Lugo,Taboada
Trabada,Lugo,Trabada
Triacastela,Lugo,Triacastela
Valadouro (O),Lugo,O Valadouro
Vicedo (O),Lugo,O Vicedo
Vilalba,Lugo,Vilalba
Viveiro,Lugo,Viveiro
Xermade,Lugo,Xermade
Xove,Lugo,Xove
Acebeda (La),Madrid,La Acebeda
Ajalvir,Madrid,Ajalvir
Alameda del Valle,Madrid,Alameda del Valle
Álamo (El),Madrid,El Álamo
Alcalá de Henares,Madrid,Alcalá de Henares
Alcobendas,Madrid,Alcobendas
Alcorcón,Madrid,Alcorcón
Aldea del Fresno,Madrid,Aldea del Fresno
Algete,Madrid,Algete
Alpedrete,Madrid,Alpedrete
Ambite,Madrid,Ambite
Anchuelo,Madrid,Anchuelo
Aranjuez,Madrid,Aranjuez
Arganda del Rey,Madrid,Arganda del Rey
Arroyomolinos,Madrid,Arroyomolinos
Atazar (El),Madrid,El Atazar
Batres,Madrid,Batres
Becerril de la Sierra,Madrid,Becerril de la Sierra
Belmonte de Tajo,Madrid,Belmonte de Tajo
Berrueco (El),Madrid,El Berrueco
Berzosa del Lozoya,Madrid,Berzosa del Lozoya
Boadilla del Monte,Madrid,Boadilla del Monte
Boalo (El),Madrid,El Boalo
Braojos,Madrid,Braojos
Brea de Tajo,Madrid,Brea de Tajo
Brunete,Madrid,Brunete
Buitrago del Lozoya,Madrid,Buitrago del Lozoya
Bustarviejo,Madrid,Bustarviejo
Cabanillas de la Sierra,Madrid,Cabanillas de la Sierra
Cabrera (La),Madrid,La Cabrera
Cadalso de los Vidrios,Madrid,Cadalso de los Vidrios
Camarma de Esteruelas,Madrid,Camarma de Esteruelas
Campo Real,Madrid,Campo Real
Canencia,Madrid,Canencia
Carabaña,Madrid,Carabaña
Casarrubuelos,Madrid,Casarrubuelos
Cenicientos,Madrid,Cenicientos
Cercedilla,Madrid,Cercedilla
Cervera de Buitrago,Madrid,Cervera de Buitrago
Chapinería,Madrid,Chapinería
Chinchón,Madrid,Chinchón
Ciempozuelos,Madrid,Ciempozuelos
Cobeña,Madrid,Cobeña
Collado Mediano,Madrid,Collado Mediano
Collado Villalba,Madrid,Collado Villalba
Colmenar de Oreja,Madrid,Colmenar de Oreja
Colmenar del Arroyo,Madrid,Colmenar del Arroyo
Colmenar Viejo,Madrid,Colmenar Viejo
Colmenarejo,Madrid,Colmenarejo
Corpa,Madrid,Corpa
Coslada,Madrid,Coslada
Cubas de la Sagra,Madrid,Cubas de la Sagra
Daganzo de Arriba,Madrid,Daganzo de Arriba
Escorial (El),Madrid,El Escorial
Estremera,Madrid,Estremera
Fresnedillas de la Oliva,Madrid,Fresnedillas de la Oliva
Fresno de Torote,Madrid,Fresno de Torote
Fuenlabrada,Madrid,Fuenlabrada
Fuente el Saz de Jarama,Madrid,Fuente el Saz de Jarama
Fuentidueña de Tajo,Madrid,Fuentidueña de Tajo
Galapagar,Madrid,Galapagar
Garganta de los Montes,Madrid,Garganta de los Montes
Gargantilla del Lozoya y Pinilla de Buitrago,Madrid,Gargantilla del Lozoya y Pinilla de Buitrago
Gascones,Madrid,Gascones
Getafe,Madrid,Getafe
Griñón,Madrid,Griñón
Guadalix de la Sierra,Madrid,Guadalix de la Sierra
Guadarrama,Madrid,Guadarrama
Hiruela (La),Madrid,La Hiruela
Horcajo de la Sierra-Aoslos,Madrid,Horcajo de la Sierra-Aoslos
Horcajuelo de la Sierra,Madrid,Horcajuelo de la Sierra
Hoyo de Manzanares,Madrid,Hoyo de Manzanares
Humanes de Madrid,Madrid,Humanes de Madrid
Leganés,Madrid,Leganés
Loeches,Madrid,Loeches
Lozoya,Madrid,Lozoya
Lozoyuela-Navas-Sieteiglesias,Madrid,Lozoyuela-Navas-Sieteiglesias
Madarcos,Madrid,Madarcos
Madrid,Madrid,Madrid
Majadahonda,Madrid,Majadahonda
Manzanares el Real,Madrid,Manzanares el Real
Meco,Madrid,Meco
Mejorada del Campo,Madrid,Mejorada del Campo
Miraflores de la Sierra,Madrid,Miraflores de la Sierra
Molar (El),Madrid,El Molar
Molinos (Los),Madrid,Los Molinos
Montejo de la Sierra,Madrid,Montejo de la Sierra
Moraleja de Enmedio,Madrid,Moraleja de Enmedio
Moralzarzal,Madrid,Moralzarzal
Morata de Tajuña,Madrid,Morata de Tajuña
Móstoles,Madrid,Móstoles
Navacerrada,Madrid,Navacerrada
Navalafuente,Madrid,Navalafuente
Navalagamella,Madrid,Navalagamella
Navalcarnero,Madrid,Navalcarnero
Navarredonda y San Mamés,Madrid,Navarredonda y San Mamés
Navas del Rey,Madrid,Navas del Rey
Nuevo Baztán,Madrid,Nuevo Baztán
Olmeda de las Fuentes,Madrid,Olmeda de las Fuentes
Orusco de Tajuña,Madrid,Orusco de Tajuña
Paracuellos de Jarama,Madrid,Paracuellos de Jarama
Parla,Madrid,Parla
Patones,Madrid,Patones
Pedrezuela,Madrid,Pedrezuela
Pelayos de la Presa,Madrid,Pelayos de la Presa
Perales de Tajuña,Madrid,Perales de Tajuña
Pezuela de las Torres,Madrid,Pezuela de las Torres
Pinilla del Valle,Madrid,Pinilla del Valle
Pinto,Madrid,Pinto
Piñuécar-Gandullas,Madrid,Piñuécar-Gandullas
Pozuelo de Alarcón,Madrid,Pozuelo de Alarcón
Pozuelo del Rey,Madrid,Pozuelo del Rey
Prádena del Rincón,Madrid,Prádena del Rincón
Puebla de la Sierra,Madrid,Puebla de la Sierra
Puentes Viejas,Madrid,Puentes Viejas
Quijorna,Madrid,Quijorna
Rascafría,Madrid,Rascafría
Redueña,Madrid,Redueña
Ribatejada,Madrid,Ribatejada
Rivas-Vaciamadrid,Madrid,Rivas-Vaciamadrid
Robledillo de la Jara,Madrid,Robledillo de la Jara
Robledo de Chavela,Madrid,Robledo de Chavela
Robregordo,Madrid,Robregordo
Rozas de Madrid (Las),Madrid,Las Rozas de Madrid
Rozas de Puerto Real,Madrid,Rozas de Puerto Real
San Agustín del Guadalix,Madrid,San Agustín del Guadalix
San Fernando de Henares,Madrid,San Fernando de Henares
San Lorenzo de El Escorial,Madrid,San Lorenzo de El Escorial
San Martín de la Vega,Madrid,San Martín de la Vega
San Martín de Valdeiglesias,Madrid,San Martín de Valdeiglesias
